reaction,FC,p,q,enrichment,changed
10FTHF5GLUtl,5.1795731154053355,0.0,0.0,1,1
10FTHF5GLUtm,5.179573115405332,0.0,0.0,1,1
10FTHFtl,-5.179573115405328,0.0,0.0,-1,1
10FTHFtm,-7.1291614765388225,5.205457009939086e-12,5.981295516959211e-12,-1,1
12DHCHOLabc,3.1254424546150705,3.0940781182944927e-138,5.473400206161266e-138,1,1
12DHCHOLt2,3.125442454617879,3.0940781182944927e-138,5.473400206161266e-138,1,1
12PPDRte,1.0,8.2e-322,1.82e-321,1,1
24_25DHVITD2t,-1.0,0.0,0.0,-1,1
24_25DHVITD2tm,-1.0,0.0,0.0,-1,1
24_25DHVITD3t,-1.0,0.0,0.0,-1,1
24_25DHVITD3tm,-1.0,0.0,0.0,-1,1
24_25VITD2Hm,-1.0,0.0,0.0,-1,1
24_25VITD3Hm,-1.0,0.0,0.0,-1,1
25HVITD2tin_m,-1.0,0.0,0.0,-1,1
25HVITD3tin_m,-1.0,0.0,0.0,-1,1
2H3MVc,0.0,1.0,1.0,0,0
2HATVACIDGLUChr,7.7023927195393345,5.194801845515002e-08,5.757424872008371e-08,1,1
2HATVACIDGLUCitr,7.702392719539358,5.194801845515002e-08,5.757424872008371e-08,1,1
2HATVACIDGLUCteb,7.702392719539391,5.194801845515002e-08,5.757424872008371e-08,1,1
2HATVACIDitr,-7.702392719537522,5.194801845515002e-08,5.757424872008371e-08,-1,1
2HATVACIDteb,0.914354178850602,2.4405826232998913e-255,5.008461822275497e-255,1,1
2HATVACIDtep,-292.30234994169354,0.0,0.0,-1,1
2HATVACIDthc,-282.3488007179267,0.0,0.0,-1,1
2HATVLACGLUChr,5.9510410406443235,0.01960232095219542,0.02036998925906646,1,1
2HATVLACGLUCitr,5.951041040644411,0.01960232095219542,0.02036998925906646,1,1
2HATVLACGLUCteb,5.951041040644331,0.01960232095219542,0.02036998925906646,1,1
2HATVLACOXDhc,5.951041040644329,0.01960232095219542,0.02036998925906646,1,1
2HATVLACteb,3.210205810295095,3.4297459018708595e-16,4.070036478455175e-16,1,1
2HATVLACtep,-3.2102058102951796,3.4297459018708595e-16,4.070036478455175e-16,-1,1
2HBO,0.0,1.0,1.0,0,0
2HIVc,0.0,1.0,1.0,0,0
2PGtr,895.7867073609333,0.0,0.0,1,1
34DHALDD,224.67807084413815,0.0,0.0,1,1
34DHPHAte,224.67807084413766,0.0,0.0,1,1
34DHPHELAT1tc,800.8227045809169,0.0,0.0,1,1
34DHPHEt,-717.1220528901029,0.0,0.0,-1,1
3DHCDCHOLabc,30.39682273303227,7.244723226071667e-282,1.540769655349072e-281,1,1
3DHCDCHOLt2,30.396822733031545,7.244723226071667e-282,1.540769655349072e-281,1,1
3DHCHOLabc,7.136808454663516,7.335921717149848e-05,7.782693332652697e-05,1,1
3DHCHOLt2,7.1368084546635835,7.335921717149848e-05,7.782693332652697e-05,1,1
3DHDCAabc,4.259608830083879,1.1157313408241001e-33,1.4458256216698446e-33,1,1
3DHDCAt2,4.259608830083865,1.1157313408241001e-33,1.4458256216698446e-33,1,1
3DHLCAabc,4.197177051437778,6.683182560861083e-116,1.1313814988045247e-115,1,1
3DHLCAt2,4.197177051437659,6.683182560861083e-116,1.1313814988045247e-115,1,1
3HCO3_NAt,660.5843791366123,0.0,0.0,1,1
3HLYTCL,83.44820711159974,3.6339369843938636e-35,4.741363178037048e-35,1,1
3HPPt,-347.93888976815435,1.5818384838992494e-101,2.5278399301527223e-101,-1,1
3HPPtm,347.9388897681433,1.5818384838992494e-101,2.5278399301527223e-101,1,1
3HPVSTETteb,5.787371398768878,1.2696120775805016e-24,1.5686273746825689e-24,1,1
3HPVSTETtev,-5.7873713987685464,1.2696120775805016e-24,1.5686273746825689e-24,-1,1
3HPVSteb,6.553674638278995,1.047670755116839e-32,1.351489351710925e-32,1,1
3HPVStep,-6.553674638279515,1.047670755116839e-32,1.351489351710925e-32,-1,1
3ISPVSteb,17.925332336544624,1.0004257340859742e-76,1.5219810167894623e-76,1,1
3ISPVStep,-17.925332336544887,1.0004257340859742e-76,1.5219810167894623e-76,-1,1
3PGtr,662.3594954516044,0.0,0.0,1,1
4AABUTNt,-44.9536145723635,0.0,0.0,-1,1
4HATVACIDteb,15.57700077897051,1.2648578104450944e-222,2.4882806236514703e-222,1,1
4HATVACIDtep,-15.577000778970646,1.2648578104450944e-222,2.4882806236514703e-222,-1,1
4HATVLACteb,5.7750321387361305,1.2696120775805016e-24,1.5686273746825689e-24,1,1
4HATVLACtep,-5.775032138736501,1.2696120775805016e-24,1.5686273746825689e-24,-1,1
56DHPVSteb,6.3483690738436405,1.95944553657125e-33,2.5348382735009028e-33,1,1
56DHPVStev,-6.3483690738434895,1.95944553657125e-33,2.5348382735009028e-33,-1,1
56DURAtd,-309.7240703884154,4.0660830919911046e-47,5.644039912362348e-47,-1,1
56EPPVSteb,6.3412680583537995,2.153892257575863e-43,2.9274461773604045e-43,1,1
56EPPVStev,-6.341268058353844,2.153892257575863e-43,2.9274461773604045e-43,-1,1
5AOPt,-210.42613215004852,2.529553479526401e-118,4.307791821103916e-118,-1,1
5FTHFt2_1,-1.0,0.0,0.0,-1,1
5MTAte,-124.24564374335033,0.0,0.0,-1,1
5MTHFt,-290.046563540334,4.147632068006112e-136,7.32577119132349e-136,-1,1
5MTHFt2_1,474.2735976821235,2.928166742788413e-18,3.5058113887949415e-18,1,1
5THFtl,7.861916001943451,0.0,0.0,1,1
5THFtm,7.861916001943473,0.0,0.0,1,1
6EPSteb,4.813507703191056,4.564357804197157e-28,5.79625181367719e-28,1,1
6EPVStep,-4.813507703190672,4.564357804197157e-28,5.79625181367719e-28,-1,1
7DHCDCHOLabc,10.135614531301096,7.709567304002036e-09,8.615686869604625e-09,1,1
7DHCDCHOLt2,10.13561453130123,7.709567304002036e-09,8.615686869604625e-09,1,1
7DHCHOLabc,4.251554620697671,3.6831887568019337e-19,4.43303625686815e-19,1,1
7DHCHOLt2,4.251554620697664,3.6831887568019337e-19,4.43303625686815e-19,1,1
7DHCHSTEROLtd,-574.463974915893,0.0,0.0,-1,1
7DHCHSTEROLtr,-192.7464356799185,0.0,0.0,-1,1
7HPVSteb,5.2341253879519085,1.2146029729227987e-62,1.7847546582162436e-62,1,1
7HPVStev,-5.234125387951893,1.2146029729227987e-62,1.7847546582162436e-62,-1,1
AACTOOR,172.90952423782718,0.0,0.0,1,1
AACTte,-136.59489425199192,6.3151556458138154e-52,8.90128794548927e-52,-1,1
AACTtm,309.6827830454267,0.0,0.0,1,1
ABTD,-1.0,0.0,0.0,-1,1
ABUTt2rL,200.35523706135788,1.2731334052701707e-160,2.352461887308931e-160,1,1
ACACT4p,-1.0,0.0,0.0,-1,1
ACACT5p,-1.0,0.0,0.0,-1,1
ACCOAC,420.72736975175576,5.34562e-318,1.1820456e-317,1,1
ACChex,-12.569430223500191,1.1979681866777803e-20,1.4525841668430897e-20,-1,1
ACGALK,21.46726695469292,0.18116454248303263,0.1850570662248346,0,0
ACGALtly,85.50717866608838,1.1968461534608873e-29,1.5249597555542963e-29,1,1
ACGALtr,162.39742515604576,1.2221860773260014e-212,2.396072704860769e-212,1,1
ACGAM6PS,219.66478364027907,8.626549012104484e-120,1.4734868896423976e-119,1,1
ACGAMK,116.17798697499896,1.3022098987478291e-59,1.8903581354596349e-59,1,1
ACGAMPM,49.017675380793236,2.65915180710717e-176,5.027493308880332e-176,1,1
ACGAMtly,101.09255919593912,1.0354287586439385e-19,1.2515087008609468e-19,1,1
ACGLUtd,-1.0,0.0,0.0,-1,1
ACGLUtm,1.0,0.0,0.0,1,1
ACGLYtc,65.27265130667278,0.0,0.0,1,1
ACGLYte,65.27265130667291,0.0,0.0,1,1
ACGSm,-1.0,0.0,0.0,-1,1
ACHOMm,158.74951103934373,0.0,0.0,1,1
ACHOMte,158.74951103934364,0.0,0.0,1,1
ACHOMtm,158.74951103934356,0.0,0.0,1,1
ACITL,15.755479761454211,1.690722046468961e-05,1.815636569431609e-05,1,1
ACLEUm,192.30027013549176,0.0,0.0,1,1
ACLEUte,192.3002701354907,0.0,0.0,1,1
ACLEUtm,192.30027013549062,0.0,0.0,1,1
ACLYSt,113.93041619250556,1.65134576941857e-113,2.665043172427989e-113,1,1
ACLYStm,113.93041619250556,1.65134576941857e-113,2.665043172427989e-113,1,1
ACNAMlt,-26.00948652539107,1.5667756082255056e-94,2.470892838956879e-94,-1,1
ACNAMtr,26.009486525391097,1.5667756082255056e-94,2.470892838956879e-94,1,1
ACOAHim,303.61551282781744,0.0,0.0,1,1
ACRNtm,-278.13998730539686,0.0,0.0,-1,1
ACRNtr,-306.5720827647995,0.0,0.0,-1,1
ACTYRm,160.8189063652443,0.0,0.0,1,1
ACTYRtc,160.81890636524417,0.0,0.0,1,1
ACTYRte,160.81890636524744,0.0,0.0,1,1
ACt2m,-385.9862478199352,2.5766074972787e-26,3.243143027462765e-26,-1,1
ACt2r,-457.13915742093394,7.053692183224609e-30,8.99247238107182e-30,-1,1
ACtp,-339.16659890300537,1.5960079045723672e-272,3.366072124061129e-272,-1,1
ADA,208.73277955914983,6.914010091642317e-26,8.673870824149405e-26,1,1
ADADir,6.813577495399331,0.0,0.0,1,1
ADAe,209.7278475050737,6.926908895158878e-246,1.400106828941768e-245,1,1
ADEt,1.0,0.0,0.0,1,1
ADK1m,-63.22298293706053,1.5075361928992265e-258,3.1076762350461025e-258,-1,1
ADMDC,115.33927579311442,0.0,0.0,1,1
ADNK1,3.7755449160635566,2.478045227082155e-09,2.7788202497304555e-09,1,1
ADNK1m,17.22624461788479,2.6270185242115367e-139,4.672530219992772e-139,1,1
ADNK4,-1.0,0.0,0.0,-1,1
ADNt2,-348.6384404065987,0.0,0.0,-1,1
ADNtm,-63.22298293705955,1.5075361928992265e-258,3.1076762350461025e-258,-1,1
ADPT,14.409184796580085,0.0,0.0,1,1
ADRNCOAtx,17.606544499403814,5.7690608353924265e-27,7.31388712575862e-27,1,1
ADRNCPT1,8.596865943398372,0.0,0.0,1,1
ADRNCPT2,8.596865943398114,0.0,0.0,1,1
ADRNCRNt,8.596865943391123,0.0,0.0,1,1
ADRNt,-68.7332138495428,1.083476044558057e-297,2.348045900932086e-297,-1,1
ADSL2r,2.0721541016292493,9.803857095159588e-13,1.1373869797231408e-12,1,1
AGDC,287.0614818475566,6.694200298676395e-222,1.3157764928147746e-221,1,1
AGPOP,12.403149873445363,3.0940781182944927e-138,5.473400206161266e-138,1,1
AHCYSte,-1.0,0.0,0.0,-1,1
AHCi,-1.0,0.0,0.0,-1,1
AHEXASE2ly,4.867243610852389,6.103857836584651e-115,1.029490286998239e-114,1,1
AHEXASEly,3.053472026307862,1.1157313408241001e-33,1.4458256216698446e-33,1,1
AICARte,-2.07215410162737,9.803857095159588e-13,1.1373869797231408e-12,-1,1
AIRCr,2.072154101629044,9.803857095159588e-13,1.1373869797231408e-12,1,1
AKGt4_3,-521.331203684204,9.256398497811612e-84,1.4359688220262473e-83,-1,1
AKR1C1,336.1639652982706,4.6103971535538226e-175,8.644968204116535e-175,1,1
ALATA_L,-312.7854020546628,1.4773569429441138e-42,2.00554940142681e-42,-1,1
ALAt4,107.03811810418539,0.0,0.0,1,1
ALAtN1,1.0,0.0,0.0,1,1
ALCD19y,1.0,0.0,0.0,1,1
ALCD21_D,-1.0,0.0,0.0,-1,1
ALLTNti,737.6336655076965,1.5679195140192733e-26,1.9756997962407409e-26,1,1
ALOX52,351.14364461658687,0.0,0.0,1,1
ALR,190.4380421767001,0.0,0.0,1,1
ALR2,-1.0,0.0,0.0,-1,1
ALR3,-1.0,0.0,0.0,-1,1
AMETAMte,-22.450311676693467,8.247170039460093e-80,1.2613969189040169e-79,-1,1
