reaction,FC,p,q,enrichment,changed
10FTHF5GLUtl,8.212115310775454,0.0,0.0,1,1
10FTHF5GLUtm,8.21211531077546,0.0,0.0,1,1
10FTHFtl,-8.212115310775452,0.0,0.0,-1,1
10FTHFtm,-14.626082786988368,3.07827504786285e-44,4.3911825588546054e-44,-1,1
12DHCHOLabc,5.5502841750128855,1.3878173223697225e-09,1.5587206424835014e-09,1,1
12DHCHOLt2,5.5502841750128775,1.3878173223697225e-09,1.5587206424835014e-09,1,1
12PPDRte,1.0,0.0,0.0,1,1
24_25DHVITD2t,-1.0,0.0,0.0,-1,1
24_25DHVITD2tm,-1.0,0.0,0.0,-1,1
24_25DHVITD3t,-1.0,0.0,0.0,-1,1
24_25DHVITD3tm,-1.0,0.0,0.0,-1,1
24_25VITD2Hm,-1.0,0.0,0.0,-1,1
24_25VITD3Hm,-1.0,0.0,0.0,-1,1
25HVITD2tin_m,-1.0,0.0,0.0,-1,1
25HVITD3tin_m,-1.0,0.0,0.0,-1,1
2H3MVc,0.0,1.0,1.0,0,0
2HATVACIDGLUChr,13.107243476903943,8.974277567313009e-05,9.483752608361026e-05,1,1
2HATVACIDGLUCitr,13.107243476903903,8.974277567313009e-05,9.483752608361026e-05,1,1
2HATVACIDGLUCteb,13.10724347690383,8.974277567313009e-05,9.483752608361026e-05,1,1
2HATVACIDitr,-13.107243476911414,8.974277567313009e-05,9.483752608361026e-05,-1,1
2HATVACIDteb,3.7857803353509323,1.374604391933745e-86,2.193764282559055e-86,1,1
2HATVACIDtep,-421.5604905801931,0.0,0.0,-1,1
2HATVACIDthc,-403.5368461248463,0.0,0.0,-1,1
2HATVLACGLUChr,15.012128317542471,4.8878146754685455e-17,5.964657242336952e-17,1,1
2HATVLACGLUCitr,15.01212831754242,4.8878146754685455e-17,5.964657242336952e-17,1,1
2HATVLACGLUCteb,15.012128317542503,4.8878146754685455e-17,5.964657242336952e-17,1,1
2HATVLACOXDhc,15.012128317542482,4.8878146754685455e-17,5.964657242336952e-17,1,1
2HATVLACteb,7.267703146251171,2.209740777708452e-17,2.7096767311964873e-17,1,1
2HATVLACtep,-7.267703146256589,2.209740777708452e-17,2.7096767311964873e-17,-1,1
2HBO,0.0,1.0,1.0,0,0
2HIVc,0.0,1.0,1.0,0,0
2PGtr,820.7131446364574,0.0,0.0,1,1
34DHPHELAT1tc,602.840530957776,2.321597219050034e-08,2.5832176797955053e-08,1,1
34DHPHEt,-559.625811554078,0.0,0.0,-1,1
3DHCDCHOLabc,7.557560987522333,8.493582764331036e-19,1.0592491190442494e-18,1,1
3DHCDCHOLt2,7.557560987522343,8.493582764331036e-19,1.0592491190442494e-18,1,1
3DHCHOLabc,3.1330459382820437,9.080631963507678e-39,1.2612914488762042e-38,1,1
3DHCHOLt2,3.1330459382820353,9.080631963507678e-39,1.2612914488762042e-38,1,1
3DHDCAabc,18.118309834060426,1.6742141653587323e-106,2.753179123482752e-106,1,1
3DHDCAt2,18.118309834060426,1.6742141653587323e-106,2.753179123482752e-106,1,1
3DHLCAabc,8.74154223203539,1.150351290993759e-45,1.6524021390555515e-45,1,1
3DHLCAt2,8.741542232035387,1.150351290993759e-45,1.6524021390555515e-45,1,1
3HCO3_NAt,664.6256928535912,6.004339469183771e-33,8.002262285514287e-33,1,1
3HLYTCL,42.983646089457224,1.5141792219224034e-177,2.729127788083951e-177,1,1
3HPPt,-503.4783202771094,0.0,0.0,-1,1
3HPPtm,503.4783202771105,0.0,0.0,1,1
3HPVSTETteb,5.1178174725531616,1.3878173223697225e-09,1.5587206424835014e-09,1,1
3HPVSTETtev,-5.117817472560594,1.3878173223697225e-09,1.5587206424835014e-09,-1,1
3HPVSteb,12.131265081398121,9.520860663442335e-27,1.2292140174347666e-26,1,1
3HPVStep,-12.131265081414208,9.520860663442335e-27,1.2292140174347666e-26,-1,1
3ISPVSteb,17.90778803961497,9.134976413736297e-126,1.543566327053209e-125,1,1
3ISPVStep,-17.907788039609343,9.134976413736297e-126,1.543566327053209e-125,-1,1
3PGtr,524.4088049864317,0.0,0.0,1,1
4AABUTNt,-74.49784803000277,0.0,0.0,-1,1
4HATVACIDteb,6.603188204221273,1.2146029729227987e-62,1.824314385917775e-62,1,1
4HATVACIDtep,-6.6031882042157335,1.2146029729227987e-62,1.824314385917775e-62,-1,1
4HATVLACteb,4.21131392151678,3.9587400002181794e-05,4.2367099625332163e-05,1,1
4HATVLACtep,-4.211313921508432,3.9587400002181794e-05,4.2367099625332163e-05,-1,1
56DHPVSteb,10.236470885437097,2.5116988010361783e-63,3.785048425450007e-63,1,1
56DHPVStev,-10.23647088542639,2.5116988010361783e-63,3.785048425450007e-63,-1,1
56DURAtd,-410.56525647958944,0.0,0.0,-1,1
56EPPVSteb,10.83735826621555,1.222371081395849e-40,1.7285209999065836e-40,1,1
56EPPVStev,-10.837358266218754,1.222371081395849e-40,1.7285209999065836e-40,-1,1
5AOPt,-153.56085031967024,2.2050501705623116e-140,3.7708350431829892e-140,-1,1
5FTHFt2_1,-1.0,0.0,0.0,-1,1
5MTAte,-239.40911812960175,5.0600035336220945e-219,9.923374805574937e-219,-1,1
5MTHFt,229.81093823362232,0.0,0.0,1,1
5MTHFt2,225.06818421126303,0.0,0.0,1,1
5MTHFt2_1,-450.0904561079211,0.0,0.0,-1,1
5THFtl,4.8084768547228425,0.0,0.0,1,1
5THFtm,4.808476854722849,0.0,0.0,1,1
6EPSteb,9.063885485060371,9.23442040824848e-11,1.0596952373487769e-10,1,1
6EPVStep,-9.063885485061297,9.23442040824848e-11,1.0596952373487769e-10,-1,1
7DHCDCHOLabc,8.610550218131985,1.7223838690805776e-71,2.6304867294431686e-71,1,1
7DHCDCHOLt2,8.610550218131895,1.7223838690805776e-71,2.6304867294431686e-71,1,1
7DHCHOLabc,4.731625807790783,9.23442040824848e-11,1.0596952373487769e-10,1,1
7DHCHOLt2,4.731625807790785,9.23442040824848e-11,1.0596952373487769e-10,1,1
7DHCHSTEROLtd,-386.7341059223485,0.0,0.0,-1,1
7DHCHSTEROLtr,-67.30409871982403,0.0,0.0,-1,1
7HPVSteb,11.798646761076846,5.496865977768336e-57,8.153744373293202e-57,1,1
7HPVStev,-11.798646761071891,5.496865977768336e-57,8.153744373293202e-57,-1,1
AACTOOR,246.91757465196525,0.0,0.0,1,1
AACTte,-192.8142067711204,0.0,0.0,-1,1
AACTtm,439.8732196473199,0.0,0.0,1,1
ABTD,-1.0,0.0,0.0,-1,1
ABUTt2rL,94.7752874107841,1.425495606226295e-30,1.882151466127858e-30,1,1
ACACT4p,-1.0,0.0,0.0,-1,1
ACACT5p,-1.0,0.0,0.0,-1,1
ACCOAC,412.74113568340624,1.7159001860079139e-184,3.1075034469090686e-184,1,1
ACChex,-8.821498013178205,0.033253124816560224,0.03409383587287055,-1,1
ACGALK,23.954774843209453,6.092949945604465e-14,7.17691355107248e-14,1,1
ACGALtly,81.05540087564367,2.209740777708452e-17,2.7096767311964873e-17,1,1
ACGALtr,159.42836154982567,1.6656399989720174e-38,2.3022936321761727e-38,1,1
ACGAM6PS,276.27891439420864,1.7199456463250463e-77,2.6643905612579675e-77,1,1
ACGAMK,82.9631513326851,0.0,0.0,1,1
ACGAMPM,42.97763799946381,4.6103971535538226e-175,8.283395518766401e-175,1,1
ACGAMtly,61.225153201677195,0.0,0.0,1,1
ACGLUtd,-1.0,0.0,0.0,-1,1
ACGLUtm,1.0,0.0,0.0,1,1
ACGLYtc,30.496847632190715,0.0,0.0,1,1
ACGLYte,30.496847632191553,0.0,0.0,1,1
ACGSm,-1.0,0.0,0.0,-1,1
ACHOMm,184.90750904639927,0.0,0.0,1,1
ACHOMte,184.90750904639955,0.0,0.0,1,1
ACHOMtm,184.90750904639944,0.0,0.0,1,1
ACILEm,66.36666632070613,0.0,0.0,1,1
ACILEte,66.36666632070619,0.0,0.0,1,1
ACILEtm,66.36666632070607,0.0,0.0,1,1
ACITL,10.8148181960955,0.08689937254547132,0.08885568439926401,0,0
ACLEUm,83.56227676384307,0.0,0.0,1,1
ACLEUte,83.56227676384319,0.0,0.0,1,1
ACLEUtm,83.56227676384293,0.0,0.0,1,1
ACLYSt,538.6284936438954,0.0,0.0,1,1
ACLYStm,538.628493643895,0.0,0.0,1,1
ACNAMlt,-31.303323026875447,1.003727957465678e-14,1.1897005174345276e-14,-1,1
ACNAMtr,31.303323026875464,1.003727957465678e-14,1.1897005174345276e-14,1,1
ACOAHim,321.10920907212795,0.0,0.0,1,1
ACRNtm,-19.219332661966185,0.0,0.0,-1,1
ACRNtr,-361.70469270342045,0.0,0.0,-1,1
ACTYRm,81.94419822300083,0.0,0.0,1,1
ACTYRtc,81.94419822300087,0.0,0.0,1,1
ACTYRte,81.94419822300007,0.0,0.0,1,1
ACt2m,-353.0720720582592,4.783946836177524e-214,9.357746136915725e-214,-1,1
ACt2r,-382.2588861445458,1.39882300461979e-182,2.527229151544585e-182,-1,1
ACtp,-124.08394611299754,5.56751340341548e-38,7.672222657255191e-38,-1,1
ADA,57.64707853306739,9.256398497811612e-84,1.4731100902964381e-83,1,1
ADADir,20.205994027494185,0.0,0.0,1,1
ADAe,116.65391231116425,4.101461018780163e-43,5.832447071790702e-43,1,1
ADEt,1.0,0.0,0.0,1,1
ADK1m,-106.33864304253815,0.0,0.0,-1,1
ADMDC,142.71467494563225,1.4773569429441138e-42,2.0982349077086196e-42,1,1
ADNK1,6.578923093552704,2.5766074972787e-26,3.3247020604090495e-26,1,1
ADNK1m,23.481014337030672,1.2581488962359795e-10,1.4408755135410538e-10,1,1
ADNK4,-1.0,0.0,0.0,-1,1
ADNt2,-533.9588670577833,0.0,0.0,-1,1
ADNtm,-106.33864304253808,0.0,0.0,-1,1
ADPT,17.43852299509926,0.0,0.0,1,1
ADRNCOAtx,20.24923276989207,8.974277567313009e-05,9.483752608361026e-05,1,1
ADRNCPT1,14.485335980741004,0.0,0.0,1,1
ADRNCPT2,14.485335980740956,0.0,0.0,1,1
ADRNCRNt,14.485335980740954,0.0,0.0,1,1
ADRNt,-355.00054256757124,0.0,0.0,-1,1
ADSL2r,2.346285625358999,2.214758736930358e-06,2.397386602273042e-06,1,1
AGDC,316.49401675091104,1.942374946587825e-18,2.418384596327276e-18,1,1
AGPOP,135.54087730734327,0.0,0.0,1,1
AHCYSte,-1.0,0.0,0.0,-1,1
AHCi,1.0,0.0,0.0,1,1
AHEXASE2ly,0.7313601083466771,6.723652038451915e-197,1.2951156725465904e-196,0,0
AHEXASEly,4.309478745744115,6.6131216618004355e-18,8.153311234499887e-18,1,1
AICARte,-2.3462856253590787,2.214758736930358e-06,2.397386602273042e-06,-1,1
AIRCr,2.3462856253588633,2.214758736930358e-06,2.397386602273042e-06,1,1
AKGt4_3,-674.5176472675332,2.396619961945673e-168,4.255452645487587e-168,-1,1
AKR1C1,126.01927159057377,1.522399152854421e-166,2.6926545764270953e-166,1,1
ALATA_L,-518.1887953305584,0.0,0.0,-1,1
ALAt4,80.80696146263357,6.6131216618004355e-18,8.153311234499887e-18,1,1
ALAtN1,1.0,0.0,0.0,1,1
ALCD19y,1.0,0.0,0.0,1,1
ALCD21_D,-1.0,0.0,0.0,-1,1
ALLTNti,895.8929911340185,2.782389899475868e-120,4.670219853443974e-120,1,1
ALOX52,163.6214999981264,0.0,0.0,1,1
ALR,156.7076149257801,0.0,0.0,1,1
ALR2,-1.0,0.0,0.0,-1,1
ALR3,-1.0,0.0,0.0,-1,1
AMETAMte,-113.42623548159818,5.194801845515002e-08,5.760446773029575e-08,-1,1
AMETt,-145.22779832536048,0.0,0.0,-1,1
AMY1e,117.48154339198727,5.227334381223139e-249,1.0496265587761053e-248,1,1
AMY2e,107.46343667266304,1.354199288211322e-23,1.7209773830598278e-23,1,1
AND19ONEc,-1.0,0.0,0.0,-1,1
AND19ONEt,-1.0,0.0,0.0,-1,1
ANDRSTANDRtr,26.694791652384733,0.033253124816560224,0.03409383587287055,1,1
ANDRSTRNtr,-26.694791652386996,0.033253124816560224,0.03409383587287055,-1,1
AOBUTDsm,439.8732196473198,0.0,0.0,1,1
APRGSTRNt1e,-225.068184211268,0.0,0.0,-1,1
APRGSTRNte,100.17161766980533,0.0,0.0,1,1
APRTO2,74.49784803000155,0.0,0.0,1,1
ARABR,-1.0,0.0,0.0,-1,1
ARAB_Lt,-1.0,0.0,0.0,-1,1
ARACHCOAtx,-2.5613532989373335,3.209982841805882e-05,3.440241167409702e-05,-1,1
ARACHCPT1,183.12915379213905,0.0,0.0,1,1
ARACHCPT2,183.12915379213908,0.0,0.0,1,1
ARACHCRNt,183.12915379213914,0.0,0.0,1,1
ARACHDCOAtx,-10.102210904279728,0.0,0.0,-1,1
ARACHDt2,325.7949092922033,0.0,0.0,1,1
ARACHDtr,103.36104132024919,5.6477448391534745e-261,1.1544580134759263e-260,1,1
ARACHFATPc,10.024529444781152,1.4811534595157654e-17,1.8191993004652802e-17,1,1
ARACHt,462.1346241616112,0.0,0.0,1,1
ARTFR208,492.249062405971,0.0,0.0,1,1
ASAH1,38.98736637342414,3.6831887568019337e-19,4.600947011384594e-19,1,1
ASNNm,193.21768703987127,0.0,0.0,1,1
ASNPHELAT2tc,-58.95691002082843,0.0,0.0,-1,1
ASNt4,560.5094298965766,1.083476044558057e-297,2.276201755033624e-297,1,1
ASNtN1,1.0,0.0,0.0,1,1
ASNtm,193.21768703987146,0.0,0.0,1,1
ASPNATm,193.217687039871,0.0,0.0,1,1
ATP1ter,9.562329806579234,5.577646320340156e-06,6.000395449309566e-06,1,1
ATP2ter,268.95209253083425,0.0,0.0,1,1
ATPtg,19.68459641950041,1.8518210519255763e-20,2.3324934048380386e-20,1,1
ATPtm,434.8265639178841,0.0,0.0,1,1
ATVLACThc,15.349465146068638,0.0,0.0,1,1
ATVLACitr,15.01212831754244,4.8878146754685455e-17,5.964657242336952e-17,1,1
ATVLACtdhc,-1.0,0.0,0.0,-1,1
A_MANASEly,6.6357415234423645,3.6930025171082004e-252,7.461573591061142e-252,1,1
B3GALTg,-0.2009154734801114,2.883581140542334e-192,5.259929935880836e-192,0,0
B3GNT39g,2.1855823353999937,0.0006029005665324465,0.0006303808409738425,1,1
B3GNT51g,-0.20091547348010502,2.883581140542334e-192,5.259929935880836e-192,0,0
BILDGLCURt,-1.0,0.0,0.0,-1,1
BILDGLCURte,5.2867342425723045,7.053692183224609e-30,9.302517391465208e-30,1,1
BILGLCURtr,115.81802631623025,7.969763456935227e-47,1.1484348230139532e-46,1,1
BILIRUBt2,-556.2870991970243,0.0,0.0,-1,1
BILIRUBtr,-105.76321198175054,7.969763456935227e-47,1.1484348230139532e-46,-1,1
B_MANNASEly,6.635741523442368,3.6930025171082004e-252,7.461573591061142e-252,1,1
C05769te,5.147428395436178,4.148242783943996e-30,5.473945010073687e-30,1,1
C05769te2,259.72811646617936,4.4050768771360105e-18,5.478603279285805e-18,1,1
C05769te3,243.86124355242998,4.955881909979731e-13,5.795472614605546e-13,1,1
C05770te,7.627128822639708,7.969763456935227e-47,1.1484348230139532e-46,1,1
