subsystem,p_up,p_down,q_up,q_down,enrichment,p_changed,q_changed,changed
"Transport, mitochondrial",0.9994681945394653,2.682780913754179e-06,1.0,9.4791592285981e-05,-1,0.0,0.0,1
"Transport, extracellular",0.999643758615979,1.7979062683082248e-11,1.0,1.9057806444067182e-09,-1,2.9609648066752925e-13,4.0238752500971927e-13,1
"Transport, lysosomal",0.8538893241055673,0.5393488547995655,1.0,1.0,0,0.8895289814994937,1.0,0
Extracellular exchange,0.9999689538302496,2.413044919435947e-08,1.0,1.278913807301052e-06,-1,0.0012689922093045425,0.0016814146773285188,1
Vitamin D metabolism,1.0,0.023154441886116706,1.0,0.2231246218116701,0,0.0,0.0,1
"Transport, endoplasmic reticular",0.9558733394883755,0.003674319902894463,1.0,0.0778955819413626,0,0.0,0.0,1
Beta-Alanine metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
"Glycine, serine, alanine, and threonine metabolism",0.057685472944358995,0.9754019739568955,0.7643325165127567,1.0,0,0.0,0.0,1
Methionine and cysteine metabolism,0.9737027211798785,0.1679704436776155,1.0,1.0,0,0.5696910328420952,0.6941063158765758,0
Lysine metabolism,0.8753868446627366,0.4893464231053486,1.0,1.0,0,0.0,0.0,1
Tryptophan metabolism,0.7140323050501849,1.0,1.0,1.0,0,0.8099708806575022,0.9332273190184265,0
Tyrosine metabolism,0.9425520642431839,0.10748785503952929,1.0,0.7121070396368816,0,0.0,0.0,1
Ubiquinone synthesis,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Taurine and hypotaurine metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Cytochrome metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Steroid metabolism,0.9949488173522282,0.007723524709584484,1.0,0.12835343588204157,0,0.0,0.0,1
Sphingolipid metabolism,0.07966045884619699,0.9910784954102682,0.844400863769688,1.0,0,0.37306197356219706,0.4598205720650336,0
O-glycan metabolism,1.0,0.023154441886116706,1.0,0.2231246218116701,0,0.0,0.0,1
Blood group synthesis,1.0,1.0,1.0,1.0,0,0.99997961493271,1.0,0
Glutamate metabolism,0.7140323050501849,0.6351831431704582,1.0,1.0,0,0.0,0.0,1
